Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_USD,sector,bif_indus
2016-08-01,Voonik,eCommerce,"Online Womens Fashion Marketplace",Bangalore,"InnoVen Capital","Private Funding",3000000,E-Commerce,eCommerce
2016-08-01,Tokri,"Consumer Internet","Hyperlocal Grocery Delivery platform",Pune,"Syska LED group","Private Funding",2500000,"Food and Beverages","Hyperlocal Grocery Delivery platform"
2016-08-02,Sheroes,"Consumer Internet","Online Job and Career Platform for Women",Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media","Private Funding",1800000,Technology,"Online Job and Career Platform for Women"
2016-08-02,Yumlane,"Food & Beverage","Retail Food & Snack Offline centres",Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain","Seed Funding",1000000,"Food and Beverages","Food & Beverage"
2016-08-03,ExtraCarbon,"Consumer Internet","Waste Recycle Management platform",Gurugram,"Brand Capital","Seed Funding",225000,Technology,"Waste Recycle Management platform"
2016-08-03,FlickBay,"Consumer Internet","Mobile Based Bollywood Discovery platform",Mumbai,"Paul Roy","Seed Funding",890000,Technology,"Mobile Based Bollywood Discovery platform"
2016-08-04,Petoo,"Consumer Internet","Food Delivery Platform",Bangalore,"Existing Investors","Seed Funding",500000,"Food and Beverages","Food Delivery Platform"
2016-08-06,VSTTravels,Technology,"Travel Ticket Booking Software",Kerala,"Promatus Group","Seed Funding",27000,Technology,Technology
2016-08-08,WeflyIndoorSkydiving,Others,"Indoor Skydiving Sports Provider",Mumbai,"Swastika Company Ltd.","Seed Funding",40000,Other,Others
2016-08-08,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurugram,"Undisclosed Investors","Seed Funding",445000,E-Commerce,eCommerce
2016-08-08,Zipgrid,"Consumer Internet","Community services platform",Mumbai,"1Crowd (through crowd funding)","Seed Funding",200000,Technology,"Community services platform"
2016-08-10,Vebbler,"Consumer Internet","Photo Sharing Mobile App",Bangalore,"Anupam Mittal, Sharad Sharma & 14 others","Seed Funding",500000,Technology,"Photo Sharing Mobile App"
2016-08-10,BombayShavingCompany,eCommerce,"Mens Grooming Product etailer",Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others","Seed Funding",600000,E-Commerce,eCommerce
2016-08-11,Travelyaari,"Consumer Internet","Online ticket booking platform",Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd","Private Funding",7000000,Technology,"Online ticket booking platform"
2016-08-11,Genextstudents,"Consumer Internet","Online Tutoring Service provider",Mumbai,"1Crowd (through crowdfunding)","Seed Funding",209000,Technology,"Online Tutoring Service provider"
2016-08-11,Zenoti,Technology,"Cloud Based Software Solutions Provider",Hyderabad,"Norwest Venture Partners, Accel India","Private Funding",15000000,Technology,Technology
2016-08-12,Crofarm,Technology,"Agri Tech supply chain Solution provider",Gurugram,"Mukul Singhal Rohit Jain Himanshu Aggrawal Sunil Goyal Ashish Gupta","Private Funding",1500000,Technology,Technology
2016-08-12,Faircent,"Consumer Internet","peer to peer lending platform",Gurugram,"Brand Capital","Private Funding",1500000,Technology,"peer to peer lending platform"
2016-08-12,Innovaccer,Technology,"Integrated Enterprise Analytics Platform",Noida,"Westbridge Capital Partners","Private Funding",15600000,Technology,Technology
2016-08-12,Cuberoot,Technology,"Data Analytics & Audience Management Platform",Gurugram,"Undisclosed Investors","Seed Funding",500000,Technology,Technology
2016-08-16,OyoRooms,"Consumer Internet","Budget Hotels Aggregator",Delhi,"SoftBank Group","Private Funding",62000000,Hospitality,"Budget Hotels Aggregator"
2016-08-16,Hike,"Consumer Internet","Mobile Messaging App",Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises","Private Funding",175000000,Technology,"Mobile Messaging App"
2016-08-16,Joolz,eCommerce,"Online Jewellery Store",Mumbai,"Powerhouse Ventures, M&S Partners","Private Funding",500000,E-Commerce,eCommerce
2016-08-16,SaleBhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahemdabad,"Brand Capital","Private Funding",1500000,E-Commerce,eCommerce
2016-08-16,Makkajai,Technology,"Online & Mobile learning for kids",Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd","Seed Funding",250000,Technology,Technology
2016-08-17,MaalGaadi,Logistics,"Online Logistics Marketplace",Indore,"Swan Angel Network,Sachin Khandelwal and others","Seed Funding",375000,"Transportation and Logistics",Logistics
2016-08-17,Appknox,Technology,"Mobile security solutions",Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates","Private Funding",675000,Technology,Technology
2016-08-19,Quikr,"Consumer Internet","Classified Listings platform",Mumbai,"Brand Capital","Private Funding",20000000,Technology,"Classified Listings platform"
2016-08-19,Digio,Technology,"Aadhar based Document Signing platform",Bangalore,Rainmatter,"Private Funding",375000,Technology,Technology
2016-08-22,PuroWellness,healthcare,"Organic, Natural Food substitute manufacturer",Mumbai,"Torrent Group","Private Funding",37000000,Healthcare,healthcare
2016-08-23,Notesgen,"Consumer Internet","Online Notes Sharing Portal",Delhi,"Riju Gupta, Kamal Chabra","Seed Funding",100000,Technology,"Online Notes Sharing Portal"
2016-08-23,Octoai,Technology,"Artificial Intelligence based marketing platform",Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal","Seed Funding",200000,Technology,Technology
2016-08-24,UnaAcademy,"Consumer Internet","Free Interactive education platform",Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, Kunal Shah, Sandeep Tandon, Ashish Tulsian","Private Funding",1000000,Education,"Free Interactive education platform"
2016-08-24,Advenio,Technology,"Clinical Imaging Solution Provider",Chandigarh,"Kalaari Capital","Seed Funding",100000,Technology,Technology
2016-08-24,Guarented,eCommerce,"Home Furnishing rental marketplace",Bangalore,"Kalaari Capital","Seed Funding",500000,E-Commerce,eCommerce
2016-08-24,UberDreams,eCommerce,"Dreams fulfilling marketplace",Mumbai,"Mohit Lalvani","Seed Funding",500000,E-Commerce,eCommerce
2016-08-24,Convegenius,Education,"Edutainment platform",Noida,"Michael and Susan Dell Foundation","Private Funding",900000,Education,Education
2016-08-24,UrbanLadder,eCommerce,"Online Furniture Store",Mumbai,"Trifecta Capital","Private Funding",3000000,E-Commerce,eCommerce
2016-08-25,Cult,Healthcare,"Health and Fitness Centres",Bangalore,CureFit,"Private Funding",3000000,Healthcare,Healthcare
2016-08-25,ZoomCar,"Consumer Internet","Self driven car booking platform",Bangalore,"Ford Smart Mobility Llc","Private Funding",24000000,Automotive,"Self driven car booking platform"
2016-08-26,Plix,"Consumer Internet","Photo and Video Sharing App",Gurugram,Instalabs,"Seed Funding",500000,Technology,"Photo and Video Sharing App"
2016-08-26,Mobikwik,"Consumer Internet","Digital Wallet platform",Gurugram,"Net1 UEPS Technologies Inc","Private Funding",40000000,Technology,"Digital Wallet platform"
2016-08-26,MyDidi,"Consumer Internet","on demand, hyper local Cleaning services provider",Mumbai,"Undisclosed Ex Mckinsey Directors and Partners","Seed Funding",550000,Services,"on demand, hyper local Cleaning services provider"
2016-08-29,LoanTap,"Consumer Internet","Lending platform for Salaried professionals",Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra","Private Funding",3000000,Technology,"Lending platform for Salaried professionals"
2016-08-29,Runnr,"Consumer Internet","hyperlocal Logistics services provider",Bangalore,"Nexus Venture Partners, Blume Ventures","Private Funding",7000000,"Transportation and Logistics","hyperlocal Logistics services provider"
2016-08-29,NotionPress,"Consumer Internet","Self Publishing books platform",Chennai,"Undisclosed HNI investors","Private Funding",1000000,Technology,"Self Publishing books platform"
2016-08-29,LivSpace,"Consumer Internet","Online portal for Home Design",Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures","Private Funding",15000000,Technology,"Online portal for Home Design"
2016-08-30,iAugmentorLabs,Technology,"Assessment & Learning Platform",Gurugram,"Rajasthan Angel Investor Network & Others","Seed Funding",149000,Technology,Technology
2016-08-30,DayBox,"Consumer Internet","Fruit & Vegetable Delivery platform",Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others","Seed Funding",104000,E-Commerce,"Fruit & Vegetable Delivery platform"
2016-08-30,Paytm,eCommerce,"Mobile Wallet & ECommerce platform",Bangalore,"MediaTek Inc.","Private Funding",60000000,E-Commerce,eCommerce
2016-08-30,CropIn,Technology,"Agriculture Technology Solutions",Bangalore,"Sophia Investment ApS","Private Funding",2000000,Technology,Technology
2016-08-30,Canvera,"Consumer Internet","Photographer Discovery & Information platform",Bangalore,"Info Edge (India) Ltd","Private Funding",3000000,Technology,"Photographer Discovery & Information platform"
2016-08-31,Flyrobe,eCommerce,"Online fashion rental platform",Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures","Private Funding",5300000,E-Commerce,eCommerce
2016-07-01,VentureCatalysts,"Consumer Internet","Seed Investment & Innovation Platform",Mumbai,"Zaffiro Ventures","Seed Funding",500000,Finance,"Seed Investment & Innovation Platform"
2016-07-02,Playment,"Consumer Internet","Mobile Marketplace for Crowdsourced Work",Bangalore,"SAIF Partners","Private Funding",700000,E-Commerce,"Mobile Marketplace for Crowdsourced Work"
2016-07-04,Curefit,"Consumer Internet","Online Preventive Healthcare Platform",Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital","Private Funding",15000000,Healthcare,"Online Preventive Healthcare Platform"
2016-07-04,StitchWood,eCommerce,"Custom Furniture Online",Mumbai,"Deepak Gupta","Seed Funding",200000,E-Commerce,eCommerce
2016-07-04,Grab,Logistics,"hyperlocal logistics service",Mumbai,"Aramex Ventures Llc","Private Funding",2000000,"Transportation and Logistics",Logistics
2016-07-04,NeoGrowth,Finance,"SME Lending platform",Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada","Private Funding",16000000,Finance,Finance
2016-07-05,SeeDoc,"Consumer Internet","Video Based Doctor Consulting platform App",Gurugram,"YourNest Angel Fund & Others","Private Funding",1000000,Healthcare,"Video Based Doctor Consulting platform App"
2016-07-05,BookMyShow,"Consumer Internet","Event & Movie Ticketing platform",Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners","Private Funding",82000000,Technology,"Event & Movie Ticketing platform"
2016-07-05,Flyrobe,eCommerce,"Online fashion rental platform",Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath, Abhishek Jain","Seed Funding",1700000,E-Commerce,eCommerce
2016-07-06,HappilyUnmarried,eCommerce,"Online Merchandize etailer",Delhi,"Info Edge (India) Ltd","Private Funding",740000,E-Commerce,eCommerce
2016-07-06,DontScratchYourHead,Technology,"Full Stack Offline & Online ERP Solution",Ahemdabad,"Gaurav Singhvi, Zaffiro Ventures","Seed Funding",250000,Technology,Technology
2016-07-06,WeddingWishlist,"Consumer Internet","Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin","Seed Funding",297000,Technology,"Wedding Wishlist, Gifts & Registry Creation platform"
2016-07-07,AppDaily,Technology,"Mobile Security App development & Distribution",Mumbai,"Kalaari Capital Qualcomm Ventures ru-Net Zodius Technology Opportunities Fund","Private Funding",2000000,Technology,Technology
2016-07-07,Adytude,"Consumer Internet","Gamified Consumer Insights Portal",Delhi,"Indian Angel Network","Private Funding",1000000,"Online Gaming","Gamified Consumer Insights Portal"
2016-07-08,HolaChef,"Consumer Internet","Online Food Ordering & Delivery Platform",Mumbai,"Kalaari Capital, India Quotient","Private Funding",1950000,"Food and Beverages","Online Food Ordering & Delivery Platform"
2016-07-11,Purplle,eCommerce,"Beauty Products Marketplace",Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures","Private Funding",6000000,E-Commerce,eCommerce
2016-07-11,TrakNTell,Technology,"Car Tracking & Safety System",Gurugram,"Brian Acton","Private Funding",3500000,Technology,Technology
2016-07-11,Overcart,eCommerce,"Unboxed & refurbished electronic products marketplace",Gurugram,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works","Private Funding",3000000,E-Commerce,eCommerce
2016-07-12,SirionLabs,Technology,"SAAS based Service Agreement Management",Gurugram,"Sequoia Capital","Private Funding",12250000,Technology,Technology
2016-07-13,YAAP,"Consumer Internet","Online Content Discovery, Creation & Distribution Platform",Delhi,"Rainmaker Ventures","Private Funding",5000000,Technology,"Online Content Discovery, Creation & Distribution Platform"
2016-07-13,Twigly,"Consumer Internet","Online Food Ordering & Delivery Startup",Gurugram,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia","Seed Funding",600000,"Food and Beverages","Online Food Ordering & Delivery Startup"
2016-07-13,ShareChat,"Consumer Internet","Vernacular Language Content Creation & Sharing App",Bangalore,"SAIF Partners, India Quotient","Private Funding",1350000,Technology,"Vernacular Language Content Creation & Sharing App"
2016-07-13,RentMojo,"Consumer Internet","Online Furniture Renting Platform",Bangalore,"Accel Partners, IDG Ventures India","Private Funding",5000000,Technology,"Online Furniture Renting Platform"
2016-07-14,Augrav,eCommerce,"Personalized precious Jewellery etailer",Coimbatore,"Keiretsu Forum","Seed Funding",450000,E-Commerce,eCommerce
2016-07-14,ShoppinPal,Technology,"M Commerce Solutions for Retail Stores",Pune,"Plug and Play Tech Center, Steelhead Ventures & Others","Private Funding",1070000,Technology,Technology
2016-07-15,WorkApps,Technology,"Enterprise Work Management Software",Pune,"SRI Capital","Seed Funding",1000000,Technology,Technology
2016-07-15,BankerBay,"Consumer Internet","Online Investment Banking platform",Bangalore,"undisclosed investors","Private Funding",2000000,Finance,"Online Investment Banking platform"
2016-07-15,TripShelf,eCommerce,"Travel Package Marketplace",Delhi,"GEMS group","Seed Funding",250000,E-Commerce,eCommerce
2016-07-15,Ridlr,"Consumer Internet","Public Transport Mobile App",Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures","Private Funding",6000000,"Transportation and Logistics","Public Transport Mobile App"
2016-07-18,Yellowdig,"Consumer Internet","Online Learning Platform",Pune,"SRI Capital","Seed Funding",650000,Education,"Online Learning Platform"
2016-07-18,Zuppler,"Consumer Internet","Online Food Ordering platform",Delhi,"SRI Capital","Seed Funding",650000,"Food and Beverages","Online Food Ordering platform"
2016-07-18,BlueStone,eCommerce,"Jewellery Etailer",Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments","Private Funding",30000000,E-Commerce,eCommerce
2016-07-19,Sagacito,Technology,"Cloud Based Enterprise Solutions",Delhi,"Star India Pvt. Ltd","Private Funding",10000000,Technology,Technology
2016-07-19,Deal4Loans/Wishfin,"Consumer Internet","Loans Comparison platform     (adsbygoogle = window.adsbygoogle || []).push({});",Noida,"Franklin Templeton International Services Pvt. Ltd","Private Funding",15000000,Finance,"Loans Comparison platform     (adsbygoogle = window.adsbygoogle || []).push({});"
2016-07-19,NiYOSolutions,Technology,"Payroll & Benefits Software solutions",Bangalore,"Prime Venture Partners","Private Funding",1000000,Technology,Technology
2016-07-19,AppLop,"Consumer Internet","Mobile Apps SaaS Platform",Gurugram,"Green House Ventures Accelerator","Seed Funding",250000,Technology,"Mobile Apps SaaS Platform"
2016-07-20,Tax2Win,"Consumer Internet","Online Tax Filing Portal",Jaipur,"Undisclosed Investors","Private Funding",1000000,Technology,"Online Tax Filing Portal"
2016-07-20,Truckola,Logistics,"Tech focused cargo transport startup",Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta","Seed Funding",595000,"Transportation and Logistics",Logistics
2016-07-21,MyTaxiIndia,"Consumer Internet","Online Car rental booking platform",Delhi,"Nihon Kotsu Co","Private Funding",1000000,Automotive,"Online Car rental booking platform"
2016-07-21,Wiwigo,"Consumer Internet","Inter City Taxi Booking platform",Bangalore,"Indian Angel Network","Seed Funding",595000,"Transportation and Logistics","Inter City Taxi Booking platform"
2016-06-02,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,"Parampara Capital","Private Funding",1000000,Technology,Technology
2016-06-02,Limo,"Consumer Internet","Bus Aggregator Mobile app",Mumbai,"Rainmaker Ventures","Private Funding",1000000,"Transportation and Logistics","Bus Aggregator Mobile app"
2016-06-03,GoGoTruck,"Consumer Internet","Truck Aggregator & Booking platform",Chennai,"Undisclosed Investor","Seed Funding",75000,Technology,"Truck Aggregator & Booking platform"
2016-06-03,VyomeBiosciences,Healthcare,"Treatment Development for Antibiotic resistant diseases",Delhi,"Romulus Capital","Private Funding",2000000,Healthcare,Healthcare
2016-06-06,SillyMonks,"Consumer Internet","Digital Media and Entertainment Startup",Hyderabad,"Sreenivasa Reddy Musani","Seed Funding",448000,Other,"Digital Media and Entertainment Startup"
2016-06-07,CueMath,Education,"K 12 Maths Learning Courses",Bangalore,"Sequoia Capital, Unitus Seed Fund","Private Funding",4000000,Education,Education
2016-06-07,KrazyBee,"Consumer Internet","Student Micro Loan platform",Bangalore,"Yeahmobi, Fenqile","Private Funding",2000000,Finance,"Student Micro Loan platform"
2016-06-07,Intgrea,Technology,"Post merger Integration Partners",Bangalore,"Undisclosed Investor","Seed Funding",100000,Technology,Technology
2016-06-07,HelpShift,Technology,"Mobile CRM Platform",Pune,"Microsoft Ventures, Salesforce Ventures","Private Funding",23000000,Technology,Technology
2016-06-07,CreditVidya,Technology,"Credit Scoring Platform",Mumbai,"Kalaari Capital","Private Funding",1000000,Technology,Technology
2016-06-08,GreyCampus,"Consumer Internet","Online Learning Platform",Hyderabad,"Sarath Sura","Seed Funding",1000000,Education,"Online Learning Platform"
2016-06-08,ListUp,eCommerce,"Location based Classified Mobile app",Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon","Seed Funding",500000,E-Commerce,eCommerce
2016-06-08,6Degree,Technology,"Tech enabled Fashion Talent platform",Mumbai,"Indian Angel Network","Seed Funding",200000,Technology,Technology
2016-06-08,StoreKing,eCommerce,"Connecting Small Town Consumers to E Commerce",Bangalore,"Axiata Digital","Private Funding",16000000,E-Commerce,eCommerce
2016-06-08,MySeniorDoctor,"Consumer Internet","Online medical support platform",Gurugram,"BlackJag Partners","Seed Funding",200000,Healthcare,"Online medical support platform"
2016-06-09,EPayLater,Technology,"Fin Tech Platform",Mumbai,"3 undisclosed HNIs","Seed Funding",2000000,Technology,Technology
2016-06-10,Paytunes,"Consumer Internet","Mobile based rewards platform",Delhi,"CIO Angel Network, Indian Angel Network","Private Funding",500000,Technology,"Mobile based rewards platform"
2016-06-13,BombayShirtCompany,eCommerce,"Online custom Shirt retailer",Mumbai,"undisclosed investor","Private Funding",1000000,E-Commerce,eCommerce
2016-06-13,Matrubharti,"Consumer Internet","e Book Publisher",,"Viridian Capital","Seed Funding",30000,Other,"e Book Publisher"
2016-06-14,Jivox,Technology,"Data Driven Advertising platform",Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney","Private Funding",6000000,Technology,Technology
2016-06-14,Sminq,"Consumer Internet","Queue management Mobile app",Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar","Seed Funding",1000000,Technology,"Queue management Mobile app"
2016-06-14,CureJoy,"Consumer Internet","Online Alternative health community platform",Bangalore,"Accel Partners India","Private Funding",4400000,Healthcare,"Online Alternative health community platform"
2016-06-15,Onewaycab,"Consumer Internet","Taxi Rental Platform",Vadodara,"Indian Angel Network","Seed Funding",450000,"Transportation and Logistics","Taxi Rental Platform"
2016-06-16,DiroLabs,"Consumer Internet","Contact Management Mobile App",Delhi,"Info Edge (India) Ltd","Private Funding",450000,Technology,"Contact Management Mobile App"
2016-06-16,UnnatiHelpers,"Consumer Internet","Help Hiring Platform",Gurugram,"Info Edge (India) Ltd","Private Funding",600000,Technology,"Help Hiring Platform"
2016-06-16,Voonik,eCommerce,"Online Womens Fashion Marketplace",Bangalore,"Sequoia Capital","Private Funding",20000000,E-Commerce,eCommerce
2016-06-17,Cleartax,"Consumer Internet","Online Tax Filing Platform",Delhi,"Ravi Adusumalli, SAIF Partners","Private Funding",12000000,Technology,"Online Tax Filing Platform"
2016-06-17,SilvanInnovationLabs,Technology,"Home Automation Solutions",Bangalore,"Infuse Ventures","Private Funding",900000,Technology,Technology
2016-06-17,GreytHR,Technology,"Payroll & HR Software Developer",Bangalore,"New Enterprise Associates (NEA), Blume Ventures","Private Funding",5200000,Technology,Technology
2016-06-21,Onspoon,"Consumer Internet","Online Platform for Event Sponsorship",Mumbai,"Swan Angel Network","Seed Funding",150000,Technology,"Online Platform for Event Sponsorship"
2016-06-21,Celerix,Technology,"Fintech Product Development & Services Startup",Bangalore,"Bitkemy Ventures","Seed Funding",400000,Technology,Technology
2016-06-21,NatureNama,"Consumer Internet","Online Outdoors & travel",Mumbai,"Unicorn Venture","Seed Funding",225000,Hospitality,"Online Outdoors & travel"
2016-06-21,SyonaCosmetics,FMCG,"Beauty Products & Training to Salons & Spas",Chennai,"The Chennai Angels","Seed Funding",150000,Other,FMCG
2016-06-21,PrettySecrets,eCommerce,"Women Lingerie Store",Mumbai,"RB Investments PTE Ltd, Orios Venture Partners","Private Funding",6000000,E-Commerce,eCommerce
2016-06-22,SpiderG,"Consumer Internet","Online invoice app for SMEs",Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi","Seed Funding",150000,Technology,"Online invoice app for SMEs"
2016-06-23,FarEye,Technology,"Logistics Management Software",Delhi,"Saif Partners","Private Funding",3500000,Technology,Technology
2016-06-23,TheUolo,"Consumer Internet","School Parent Communication App",Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora","Seed Funding",210000,Education,"School Parent Communication App"
2016-06-24,Drivify,"Consumer Internet","Professional Driver discovery & Booking Mobile app",Mumbai,"Jitendra Gupta, Pankaj Tripathi","Seed Funding",50000,Technology,"Professional Driver discovery & Booking Mobile app"
2016-06-24,ParaBlu,Technology,"Cloud Data Security & Privacy Solutions",Bangalore,"Kalaari Capital","Seed Funding",500000,Technology,Technology
2016-06-24,SchedulersLogistics,Logistics,"Cold Storage Logistics solutions",Mumbai,GVFL,"Private Funding",6000000,"Transportation and Logistics",Logistics
2016-06-24,LEAPIndia,Others,"Supply Chain Equipment & Services provider",Mumbai,"Mayfield Ventures","Private Funding",3000000,Other,Others
2016-06-24,KabadiExpress,Others,"Free Door Step Scrap Pickup Service",Delhi,"Undisclosed investor","Seed Funding",148000,Other,Others
2016-06-27,YourDost,"Consumer Internet","Online counselling & Personal coaching platform",Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia","Seed Funding",1200000,Education,"Online counselling & Personal coaching platform"
2016-06-27,Gomalon,"Consumer Internet","Online Spa & Salon discovery & Booking platform",Bangalore,"Undisclosed investor","Seed Funding",100000,Technology,"Online Spa & Salon discovery & Booking platform"
2016-06-27,Travelyaari,"Consumer Internet","Online ticket booking platform",Bangalore,"GVFL Ltd","Private Funding",3000000,Technology,"Online ticket booking platform"
2016-06-28,FabHotels,"Consumer Internet","Online Hotel aggregator & Booking platform",Gurugram,"Accel Partners, RB Investments","Private Funding",8000000,Hospitality,"Online Hotel aggregator & Booking platform"
2016-06-28,Locanix,Technology,"GPS based SaaS Solutions",Ahemdabad,"Undisclosed investors","Seed Funding",300000,Technology,Technology
2016-06-28,LendingKart,"Consumer Internet","Online Working Capital Business Loans Platform",Ahemdabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient","Private Funding",32000000,Finance,"Online Working Capital Business Loans Platform"
2016-06-28,HelloTax,"Consumer Internet","Online Tax Filing Platform",Delhi,"Sanjeev Sinha","Seed Funding",295000,Technology,"Online Tax Filing Platform"
2016-06-29,LetReach,eCommerce,"ECommerce SAAS Solutions",Delhi,vCommission,"Private Funding",100000,E-Commerce,eCommerce
2016-06-29,TrendieApp,Technology,"Visual Content Marketing",Kolkata,"Harsh Vardhan Hada","Seed Funding",50000,Technology,Technology
2016-06-29,Velvetcase,eCommerce,"Online designer jewellery marketplace",Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar","Private Funding",1500000,E-Commerce,eCommerce
2016-06-30,MeruCabs,"Consumer Internet","Online/ Mobile Tax Cab booking",Mumbai,"Brand Capital","Private Funding",25000000,"Transportation and Logistics","Online/ Mobile Tax Cab booking"
2016-06-30,CampusDiaries,"Consumer Internet","Student focussed Content Discovery portal",Bangalore,"Aarin Capital","Seed Funding",220000,Other,"Student focussed Content Discovery portal"
2016-06-30,BiryaniBlues,"Food & Beverage","QSR Chain",Gurugram,"Carpediem Capital & Others","Private Funding",368000,"Food and Beverages","Food & Beverage"
2016-05-01,GetMyParking,Technology,"Parking Technology Platform",Delhi,"The Chennai Angels","Seed Funding",376000,Technology,Technology
2016-05-01,Prescribez,"Consumer Internet","Health Service Aggregator Platform",Pune,"Ankush Mehta","Seed Funding",145000,Healthcare,"Health Service Aggregator Platform"
2016-05-03,Mobikwik,"Consumer Internet","Mobile & Digital Wallet",Gurugram,"GMO Payment Gateway, MediaTek","Private Funding",50000000,Technology,"Mobile & Digital Wallet"
2016-05-03,Zwayam,"Consumer Internet","Online Recruitment Platform",Bangalore,"Undisclosed investors","Seed Funding",250000,Technology,"Online Recruitment Platform"
2016-05-03,Zuver,"Consumer Internet","Car driver Discovery App",Mumbai,"Shruth & Smith Group, Hermes Group","Seed Funding",180000,Automotive,"Car driver Discovery App"
2016-05-04,EasyRoads,"Consumer Internet","Road Trip planning Mobile app",Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia","Seed Funding",200000,Technology,"Road Trip planning Mobile app"
2016-05-04,Lenskart,eCommerce,"Eyewear & Accessories etailer",Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan","Private Funding",60000000,E-Commerce,eCommerce
2016-05-04,Seclore,Technology,"Enterprise Security Technology platform",Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives","Private Funding",12000000,Technology,Technology
2016-05-04,SolarTown,Technology,"Solar Rooftop system installation company",Chennai,Grex.in,"Seed Funding",200000,Technology,Technology
2016-05-04,Comarete,Technology,"Telecom & Media IT services company",Pune,Grex.in,"Seed Funding",200000,Technology,Technology
2016-05-04,MyDentistChoice,eCommerce,"Medical Supplies eTailer",Hyderabad,"Undisclosed investors","Seed Funding",150000,E-Commerce,eCommerce
2016-05-04,Activeai,Technology,"Intelligent Tech platform for Finance vertical",Singapore,"Kalaari Capital Accelerator Program","Seed Funding",500000,Technology,Technology
2016-05-04,Affordplan,Technology,"Affordable non emergency medical service health plans",Delhi,"Kalaari Capital Accelerator Program","Seed Funding",500000,Technology,Technology
2016-05-04,Indee,"Consumer Internet","Web Video Streaming Platform",Bangalore,"Kalaari Capital Accelerator Program","Seed Funding",500000,Technology,"Web Video Streaming Platform"
2016-05-05,WebAlligator,"Consumer Internet","Cloud Based Software Solutions",Bangalore,"Group of undisclosed Angel Investors & HNIs","Seed Funding",375000,Technology,"Cloud Based Software Solutions"
2016-05-06,EduAceServices,Education,"Education Workshops & mentoring programs",Lucknow,"MoMagic Technologies","Private Funding",1000000,Education,Education
2016-05-07,Zebroads,Logistics,"Logistics and Warehousing services",Hyderabad,"Undisclosed investors","Seed Funding",75000,"Transportation and Logistics",Logistics
